0.000000,0.500000,0.574219
0.520521,1.000000,9.925781
1.051051,0.975000,9.925781
1.571572,0.950000,9.925781
2.102102,0.925000,9.925781
2.622623,0.975000,9.925781
3.153153,1.000000,9.925781
3.683684,0.950000,9.925781
4.204204,0.900000,9.925781
4.734735,1.000000,9.925781
5.255255,1.000000,9.925781
5.785786,1.000000,5.027344
6.306306,0.975000,3.097656
6.836837,1.000000,9.925781
7.367367,1.000000,9.925781
7.887888,1.000000,9.925781
8.418418,0.950000,4.136719
8.938939,0.725000,3.839844
9.469469,0.975000,5.472656
10.000000,0.975000,5.027344
